target,component,shaft,sensors,rho,spec,spec_xshaft,n_deg,n_heal,n_xheal
fan_eff_mod,fan,LP,Nf+T30+P21,0.45435537805369103,-0.21444846850982602,-0.37204849255931216,262,535,450
fan_eff_mod,fan,LP,Nf+T30+P24,0.24553044051827624,0.05441758092221305,-0.02302010809188304,262,535,450
fan_eff_mod,fan,LP,Nf+T30+Ps30,0.4600680809234589,-0.33995234679373465,-0.5317731670443462,262,535,450
fan_eff_mod,fan,LP,Nf+T30+P40,0.6909282575364403,-0.06474421164766508,-0.16062534477293755,262,535,450
fan_eff_mod,fan,LP,Nf+T30+P50,0.3080913823238801,-0.10283095044054424,-0.26209376303232435,262,535,450
fan_eff_mod,fan,LP,Nf+T48+T50,0.32235424807798907,-0.07567072684090337,-0.13409300312798544,262,535,450
fan_eff_mod,fan,LP,Nf+T48+P15,0.31168753653613984,0.0822002422747905,0.029010073288918914,262,535,450
fan_eff_mod,fan,LP,Nf+T48+P21,0.3117497146279562,0.0819515729931869,0.028746992627305623,262,535,450
fan_eff_mod,fan,LP,Nf+T48+P24,0.39627254776919385,0.01755058383054653,-0.061245021237518626,262,535,450
fan_eff_mod,fan,LP,Nf+T48+Ps30,-0.05223931164841228,-0.06222020239474513,-0.07905339904340591,262,535,450
fan_eff_mod,fan,LP,Nf+T48+P40,0.11723925695364885,-0.12511421776340548,-0.22372368137292464,262,535,450
fan_eff_mod,fan,LP,Nf+T48+P50,0.4203537690713175,-0.15685161722563334,-0.23141009880702024,262,535,450
fan_eff_mod,fan,LP,Nf+T50+P15,0.3090404836019563,-0.057184780297558246,-0.12310562534305669,262,535,450
fan_eff_mod,fan,LP,Nf+T50+P21,0.3090912465495167,-0.05727676796775838,-0.12320334891191176,262,535,450
fan_eff_mod,fan,LP,Nf+T50+P24,0.31799932605087633,0.033715828059693864,-0.02383334810367388,262,535,450
fan_eff_mod,fan,LP,Nf+T50+Ps30,0.03861482422472824,-0.17093642619215554,-0.27253574291669835,262,535,450
fan_eff_mod,fan,LP,Nf+T50+P40,0.19377792944683986,0.136753708911605,0.0959271348954921,262,535,450
fan_eff_mod,fan,LP,Nf+T50+P50,0.3155984102624041,-0.37481438741977424,-0.49977910463436337,262,535,450
fan_eff_mod,fan,LP,Nf+P15+P21,0.4726344099808243,0.09168229243894288,0.06814829817244938,262,535,450
fan_eff_mod,fan,LP,Nf+P15+P24,0.1499325788390381,0.15019832821024548,0.09417022966196986,262,535,450
fan_eff_mod,fan,LP,Nf+P15+Ps30,0.29136253387108024,-0.031299714704106085,-0.037782483478352,262,535,450
fan_eff_mod,fan,LP,Nf+P15+P40,0.2412834023960452,-0.15324651890280383,-0.22963300103502737,262,535,450
fan_eff_mod,fan,LP,Nf+P15+P50,0.36664237075465156,0.13197051665102866,0.07361524030349442,262,535,450
fan_eff_mod,fan,LP,Nf+P21+P24,0.14983580008896347,0.1502994746887366,0.09427804480841206,262,535,450
fan_eff_mod,fan,LP,Nf+P21+Ps30,0.29403341985359094,-0.18915673470005112,-0.18159041025638878,262,535,450
fan_eff_mod,fan,LP,Nf+P21+P40,0.24127245320715127,-0.1536099329718963,-0.23002048621285387,262,535,450
fan_eff_mod,fan,LP,Nf+P21+P50,0.3663909187286192,0.1325132244761087,0.07419443290913497,262,535,450
fan_eff_mod,fan,LP,Nf+P24+Ps30,0.4422040296667355,0.31637155554618424,0.25621697304671265,262,535,450
fan_eff_mod,fan,LP,Nf+P24+P40,0.385271938072273,0.03347576555831555,-0.01814496167773405,262,535,450
fan_eff_mod,fan,LP,Nf+P24+P50,0.2683563512380685,-0.020799090978983248,-0.12007496899417136,262,535,450
fan_eff_mod,fan,LP,Nf+Ps30+P40,0.41876764994808563,0.34982056205501677,0.3157244486742685,262,535,450
fan_eff_mod,fan,LP,Nf+Ps30+P50,0.1594506874724566,-0.15034584201383394,-0.25469233911672684,262,535,450
fan_eff_mod,fan,LP,Nf+P40+P50,-0.2602677173038382,0.12261318301819146,0.1444395337978489,262,535,450
fan_eff_mod,fan,LP,Nc+T24+T30,0.3150057224285947,-0.1385785631354508,-0.2227559447612384,262,535,450
fan_eff_mod,fan,LP,Nc+T24+T48,0.4695702142722219,-0.050968013579612004,-0.16097899665142812,262,535,450
fan_eff_mod,fan,LP,Nc+T24+T50,0.5233002334221541,0.15036311409419323,0.05405703692108954,262,535,450
fan_eff_mod,fan,LP,Nc+T24+P15,0.2640145066270058,-0.04921261799554788,-0.17282287881032188,262,535,450
fan_eff_mod,fan,LP,Nc+T24+P21,0.2639555653947556,-0.049218062822804276,-0.17282896510569956,262,535,450
fan_eff_mod,fan,LP,Nc+T24+P24,0.39183954017470013,-0.767732732096966,-1.0302037019284485,262,535,450
fan_eff_mod,fan,LP,Nc+T24+Ps30,0.3478838085214925,0.13282843266198663,0.029079016397882684,262,535,450
fan_eff_mod,fan,LP,Nc+T24+P40,0.39300863224161026,0.1365932876770779,0.021798554837011985,262,535,450
fan_eff_mod,fan,LP,Nc+T24+P50,-0.05871460355600838,-0.19030687746364672,-0.3375677888026729,262,535,450
fan_eff_mod,fan,LP,Nc+T30+T48,0.42250635621971594,0.043597033910058314,-0.04183060521094073,262,535,450
