split,unit,rmse,age_rmse,leak_peak,diagnosable,ds,failure_mode
4,5009,6.054525822290575,4.908833763086304,1.0,False,DS05,HPC
4,5010,6.611343159620683,7.273439456372733,1.0,False,DS05,HPC
4,6001,8.525928892032868,3.778207097607763,1.0,False,DS06,HPC+LPC
4,6002,6.724494090610257,3.778207097607763,1.0,False,DS06,HPC+LPC
4,6003,8.09023304035809,8.895422213321808,1.0,False,DS06,HPC+LPC
4,6004,7.801919637085109,11.31709874827775,1.0,False,DS06,HPC+LPC
4,6005,14.479777911812649,19.75116404708252,1.0,False,DS06,HPC+LPC
4,6006,5.755245985595408,5.904499109778632,1.0,False,DS06,HPC+LPC
4,6007,8.607805626155697,5.55634559740343,1.0,False,DS06,HPC+LPC
4,6008,10.075241437088954,14.315706554978867,1.0,False,DS06,HPC+LPC
4,6009,5.450921064781106,4.908833763086304,1.0,False,DS06,HPC+LPC
4,6010,6.617507043189229,7.273439456372733,1.0,False,DS06,HPC+LPC
4,7005,8.587671875809695,9.740738985011962,1.0,True,DS07,LPT
4,8003,5.971469470251568,0.9897223529208437,1.0,True,DS08a-009,HPC+HPT+LPC+LPT+fan
4,8012,18.62235523969334,15.880141367845605,1.0,True,DS08a-009,HPC+HPT+LPC+LPT+fan
4,9009,7.72280967478824,14.8822273098467,1.0,True,DS08c-008,HPC+HPT+LPC+LPT+fan
5,1008,12.945092080094252,13.32260389852463,1.0,True,DS01-005,HPT
5,2014,6.564787541500049,2.492933088553226,1.0,True,DS02-006,HPT+LPT
5,3005,12.243139939780361,16.202445476952914,1.0,True,DS03-012,HPT+LPT
5,3010,4.81182579038699,7.33157714524083,1.0,True,DS03-012,HPT+LPT
5,4001,14.603852443882305,11.809138059313186,1.0,False,DS04,fan
5,4002,18.951136053518653,0.37882154352590125,1.0,False,DS04,fan
5,4003,18.840778833076087,20.808108838284944,1.0,False,DS04,fan
5,4004,21.213473032623543,4.339131354249541,1.0,False,DS04,fan
5,4005,13.107987505496183,20.808108838284944,1.0,False,DS04,fan
5,4006,12.667500849943268,8.624493835383321,1.0,False,DS04,fan
5,4007,13.541330284798105,11.809138059313186,1.0,False,DS04,fan
5,4008,16.54744249319809,20.181945750570925,1.0,False,DS04,fan
5,4009,15.697678017563856,0.37882154352590125,1.0,False,DS04,fan
5,4010,15.134185792539265,10.24386527790117,1.0,False,DS04,fan
5,5001,9.310163114331452,6.0885208373714566,1.0,False,DS05,HPC
5,5002,7.612098479786625,6.0885208373714566,1.0,False,DS05,HPC
5,5003,8.869969207856906,8.32977775083857,1.0,False,DS05,HPC
5,5004,11.342866655339614,20.181945750570925,1.0,False,DS05,HPC
5,5005,14.601653537731764,20.808108838284944,1.0,False,DS05,HPC
5,5006,7.535010514074897,6.333613064358616,1.0,False,DS05,HPC
5,5007,10.543501399659311,10.24386527790117,1.0,False,DS05,HPC
5,5008,9.780805903834098,14.786384139595059,1.0,False,DS05,HPC
5,5009,6.914504926718608,4.339131354249541,1.0,False,DS05,HPC
5,5010,7.257041815871752,7.793754051559315,1.0,False,DS05,HPC
5,6001,9.308925078780268,4.3225930135186,1.0,False,DS06,HPC+LPC
5,6002,7.121159643406792,4.3225930135186,1.0,False,DS06,HPC+LPC
5,6003,8.262381173949091,8.32977775083857,1.0,False,DS06,HPC+LPC
5,6004,8.398630476908131,11.809138059313186,1.0,False,DS06,HPC+LPC
5,6005,14.421841358272104,20.181945750570925,1.0,False,DS06,HPC+LPC
5,6006,6.558850891013404,5.336035559393048,1.0,False,DS06,HPC+LPC
5,6007,8.644808530254416,6.0885208373714566,1.0,False,DS06,HPC+LPC
5,6008,10.224092650572468,14.786384139595059,1.0,False,DS06,HPC+LPC
5,6009,6.379904040240249,4.339131354249541,1.0,False,DS06,HPC+LPC
5,6010,7.170853863497639,7.793754051559315,1.0,False,DS06,HPC+LPC
5,7002,9.355845183028435,10.24386527790117,1.0,True,DS07,LPT
5,8007,5.392974311399659,5.336035559393048,1.0,True,DS08a-009,HPC+HPT+LPC+LPT+fan
5,8013,7.678782584762389,17.316405648449944,1.0,True,DS08a-009,HPC+HPT+LPC+LPT+fan
5,9007,13.455632698337412,11.32508362298372,1.0,True,DS08c-008,HPC+HPT+LPC+LPT+fan
6,1003,12.01023407645148,20.914477829952926,1.0,True,DS01-005,HPT
6,2010,9.326341563879991,7.923598164203949,1.0,True,DS02-006,HPT+LPT
6,3007,12.37276421189187,6.221319293975326,1.0,True,DS03-012,HPT+LPT
6,3011,7.838446942747932,14.181316684143741,1.0,True,DS03-012,HPT+LPT
6,4001,14.086103623866094,11.931940953715426,1.0,False,DS04,fan
6,4002,16.549450825539882,0.23558728289128686,1.0,False,DS04,fan
6,4003,17.033894305689337,20.914477829952926,1.0,False,DS04,fan
6,4004,18.42178264756441,4.19773524890236,1.0,False,DS04,fan
6,4005,10.512974216805498,20.914477829952926,1.0,False,DS04,fan
6,4006,12.53122385220497,8.752891684176095,1.0,False,DS04,fan
6,4007,11.530268770580571,11.931940953715426,1.0,False,DS04,fan
