model,n_params,RMSE,MAE,NASA,R2,rho_RUL,HPT_eff_mod:R2,HPT_eff_mod:rho,HPT_flow_mod:R2,HPT_flow_mod:rho,LPT_eff_mod:R2,LPT_eff_mod:rho,LPT_flow_mod:R2,LPT_flow_mod:rho,fold,seed
"GFT (hp,lp) fixed-MF",135,6.964778604230483,5.330472616546733,0.8223207843214685,0.9353274327087677,0.9728164004092192,-6.149082344324152,-0.8769272790459213,0.0,0.0,0.0,0.0,0.0,0.0,4,1
"GFT (hp,lp) fixed-MF",135,5.943501922284192,4.852619887172293,0.6247757998746087,0.9464769468178851,0.9759678051945747,-1.4018535214995844,-0.9055299254021609,0.0,0.0,0.0,0.0,0.0,0.0,5,0
"GFT (hp,lp) fixed-MF",135,5.473373774656586,4.129311727196945,0.529055995315167,0.9546093629134872,0.9779223369749486,-4.345048435417259,-0.8941332769502105,0.0,0.0,0.0,0.0,0.0,0.0,5,1
"GFT (hp,lp) fixed-MF",135,6.125579903971752,4.154961104750858,0.5227417816880434,0.9490012589901202,0.9780241433804712,-2.624375260493273,-0.8544683572712642,0.0,0.0,0.0,0.0,0.0,0.0,6,0
"GFT (hp,lp) fixed-MF",135,7.52522686662067,5.28003103957587,0.6987787579281138,0.9230330581395563,0.9688170633680154,0.9162860633291149,0.9954959752430452,0.0,0.0,0.0,0.0,0.0,0.0,6,1
"GFT (hp,lp,age) +MF",229,7.378199529564836,6.193501681085361,0.6903033278581748,0.9328742235791584,0.9952636919837397,0.9859123164962886,0.9952986802184624,0.0,0.0,0.0,0.0,0.0,0.0,1,0
"GFT (hp,lp,age) +MF",229,8.08242202823247,6.714229406196821,0.781479162848767,0.919448881010089,0.9921367425488978,0.9734077478681004,0.9948521028109011,0.0,0.0,0.0,0.0,0.0,0.0,1,1
"GFT (hp,lp,age) +MF",229,16.148904616207343,15.326324704401474,4.187401514534914,0.44355521983635227,0.9950240529894334,0.9444007764365274,0.9768434921758158,0.0,0.0,0.0,0.0,0.0,0.0,2,0
"GFT (hp,lp,age) +MF",229,16.041599271245882,15.186691458385155,4.139295892254277,0.45092551810973747,0.9955335189889749,0.9738568650339038,0.9895802667960741,0.0,0.0,0.0,0.0,0.0,0.0,2,1
"GFT (hp,lp,age) +MF",229,11.101575101320494,9.91830313754754,1.5040288279088958,0.8480300456181138,0.9508333359680716,0.7699619100140316,0.9275299399478387,0.0,0.0,0.0,0.0,0.0,0.0,3,0
