model,n_params,RMSE,MAE,NASA,R2,rho_RUL,HPT_eff_mod:R2,HPT_eff_mod:rho,LPT_flow_mod:R2,LPT_flow_mod:rho,split,seed,scope,age_RMSE,beats_age,LPT_eff_mod:R2,LPT_eff_mod:rho
full,102,9.785752317742537,8.370193578901395,1.278836504525049,0.7986418287943488,0.9794410153418325,0.6316224382317649,0.8471860365206911,0.37296651069129705,0.6998103867069623,6,0,diagnosable,13.4121455108929,True,0.6716752198763233,0.7125859920147812
full,102,10.066203387565785,8.13925525173585,1.5416167834178698,0.8017202742234469,0.9227497449808992,0.0,0.0,0.0,0.0,6,0,blind,14.611400064823652,True,0.0,0.0
LP-specific,69,7.960917801052752,6.546959676517138,1.003689354288878,0.849040505792215,0.9676956470737295,0.46846340223905436,0.8429446400002475,0.2484906906346469,0.8562095290189331,7,0,diagnosable,10.175553032731507,True,,
LP-specific,69,11.370614402273128,8.983775844077337,1.680180096718668,0.7602281038745129,0.9198238681961274,0.0,0.0,0.0,0.0,7,0,blind,15.279670529850494,True,,
full,102,8.090319264908352,6.684185675346852,1.0372000612351346,0.8440930508123616,0.9653882848221915,0.6376474466480058,0.8663739134936892,0.05910636966382499,0.8230860127218986,7,0,diagnosable,10.175553032731507,True,0.6907401106141182,0.8499970675999331
full,102,12.737487174875604,10.34919512315484,2.454476043718563,0.6991168043737046,0.8618792392973682,0.0,0.0,0.0,0.0,7,0,blind,15.279670529850494,True,0.0,0.0
LP-specific,69,8.772829677979292,6.8152985092445935,0.9952681652349881,0.8350609757511305,0.9653116964344943,0.2910613522417218,0.8388274624816212,0.3619981106356538,0.8518626785474911,8,0,diagnosable,11.927633856337055,True,,
LP-specific,69,10.35250304339776,8.789368085051724,1.4242009874532888,0.7956363161192682,0.9306982794014521,0.0,0.0,0.0,0.0,8,0,blind,15.960531306141954,True,,
full,102,8.854492435269778,6.7414236433928245,1.0525946878360453,0.831975981168489,0.9634270042996106,0.49643014876131686,0.8593209639798574,0.39728566640271934,0.8427092699928409,8,0,diagnosable,11.927633856337055,True,0.3273301467879254,0.815796694995505
full,102,13.044132057560336,10.976913870120976,2.647001968968926,0.6755532987965229,0.8837094209341569,0.0,0.0,0.0,0.0,8,0,blind,15.960531306141954,True,0.0,0.0
LP-specific,69,12.370716920269809,10.511928319164417,1.8060369872202884,0.6967335524093401,0.9653851265910061,0.5421342899334194,0.8504942371883558,0.12024304976968903,0.7363152497225565,9,0,diagnosable,15.680934677068525,True,,
LP-specific,69,12.133184213821558,10.348505724757276,1.8448067749037722,0.7128206444324776,0.9161097299789015,0.0,0.0,0.0,0.0,9,0,blind,14.919903937480766,True,,
full,102,11.901874866599208,10.094060770978658,1.6674303768499898,0.7192851512588532,0.9768718154446261,0.5364862591577109,0.8530989011028854,-0.22642889639415853,0.7376867253539996,9,0,diagnosable,15.680934677068525,True,0.6383978909667564,0.7220397912743517
full,102,11.90581862037925,10.08968762600501,1.791788511164043,0.7234827953960546,0.9043989157038368,0.0,0.0,0.0,0.0,9,0,blind,14.919903937480766,True,0.0,0.0
LP-specific,69,11.391107429094227,9.470437758331176,1.5801216906498792,0.7323906279197482,0.948443405845999,0.6309795114727934,0.8056189468112307,0.3942208545038812,0.7313165495696551,10,0,diagnosable,12.88535542548402,True,,
LP-specific,69,15.844761098125366,12.482721411513099,6.1680303087539015,0.5111770763075805,0.8044851873329582,0.0,0.0,0.0,0.0,10,0,blind,15.561876197205263,False,,
full,102,11.446409216879744,9.221248660299828,1.5350890830203954,0.7297859293482787,0.9617479567896845,0.7125892102190657,0.8521501185146377,0.3488581606251263,0.7305876937862836,10,0,diagnosable,12.88535542548402,True,0.3084295446705829,0.5992269958538884
full,102,13.923680480322162,11.930372839872923,2.854594077651306,0.6225249333053364,0.90619227541567,0.0,0.0,0.0,0.0,10,0,blind,15.561876197205263,True,0.0,0.0
LP-specific,69,9.290334150673415,7.756196826569161,1.31929586364325,0.7997506830904523,0.9632272584986272,0.5993359393087829,0.8471588682058699,0.4497374740275716,0.7404689842997926,11,0,diagnosable,10.62309117324142,True,,
LP-specific,69,12.334196458006323,9.710420795063117,2.751877394062263,0.6205497203193953,0.8846417523809852,0.0,0.0,0.0,0.0,11,0,blind,5.812034251965003,False,,
