target,inputs,rho,R2,NRMSE,is_baseline
HPT_eff_mod,T30+P21+P40,0.5311336713406587,0.4379678560610014,0.7496880310762596,False
HPT_eff_mod,T30+P15+P40,0.5311336713406587,0.4379655910367275,0.7496895417192857,False
HPT_eff_mod,Nc+Ps30+P50,0.5301676836774682,0.6886971455383646,0.5579452074009019,False
HPT_eff_mod,Nc+T24+P50,0.5239471010730774,0.7304576836376433,0.5191746491907677,False
HPT_eff_mod,Nf+Nc+P50,0.5215172196749731,0.7249068143473945,0.5244932655931873,False
HPT_eff_mod,Nf+Nc+P24,0.519552489350236,0.7179343320919744,0.5310985482074166,False
HPT_eff_mod,T30+P15+P24,0.5187391658073005,0.5635628631532692,0.6606338901742257,False
HPT_eff_mod,Wf+Nf+T30,0.5135382689879837,0.7031662510820622,0.5448245120384524,False
HPT_eff_mod,Nc+P15+P40,0.5134854775157401,0.642259420826293,0.5981141857318777,False
HPT_eff_mod,Wf+T30+P15,0.5133791878452708,0.5896714709285416,0.6405689104783798,False
HPT_eff_mod,Wf+P24+P40,0.5133506899112538,0.5272501244716694,0.6875680879217205,False
HPT_eff_mod,T30+P15+P50,0.5130340098567391,0.5190925626412499,0.6934749003091245,False
HPT_eff_mod,Nc+P15+Ps30,0.5115006512330496,0.6416692596085756,0.5986073340608385,False
HPT_eff_mod,T24+T30+P15,0.5101703141197512,0.5505463474446064,0.6704130462300042,False
HPT_eff_mod,Nc+T30+P50,0.5089042153315562,0.48565806491565877,0.7171763626084879,False
HPT_eff_mod,Nc+P21+P40,0.5072042344589046,0.653568814692188,0.5885840511836964,False
HPT_eff_mod,Nc+P24+P40,0.5066590314871757,0.6456390421564966,0.5952822505698483,False
HPT_eff_mod,T30+P24+Ps30,0.5062420944419662,0.4313300651340517,0.7541020719146371,False
HPT_eff_mod,Nf+T30+P40,0.5037492387931262,0.4804255026209223,0.720815161729467,False
HPT_eff_mod,T30+P40+P50,0.5034638915351491,0.5358659030185238,0.681273878100046,False
HPT_eff_mod,Nf+T24+P24,0.5011662000035898,0.3619814060470805,0.7987606612452316,False
HPT_eff_mod,Nf+T24+P21,0.5005542670781664,0.35031746362482674,0.8060288682021094,False
HPT_eff_mod,Nc+T24+P15,0.5002902096710075,0.6835699934073247,0.5625211165749028,False
HPT_eff_mod,Nf+Ps30+P40,0.5002667996982162,0.20755049345756216,0.890196330335302,False
HPT_eff_mod,P15+P24+P50,0.49965665975757434,0.38049571741128385,0.7870859435847627,False
HPT_eff_mod,Nf+T24+P15,0.49877850229318255,0.34220151246461805,0.8110477714261854,False
HPT_eff_mod,T30+P21+P50,0.4985528944836907,0.5243725219427882,0.689657507794421,False
HPT_eff_mod,P24+Ps30+P40,0.4981244356038584,0.20680717021970962,0.8906137377001832,False
HPT_eff_mod,Nc+T24+P21,0.4971167684405175,0.6846526545036875,0.5615579627218481,False
HPT_eff_mod,Wf+T30+P24,0.4965751876741154,0.6353925368380762,0.6038273454903512,False
HPT_eff_mod,Wf+P15+P24,0.49644895613524187,0.3762988367485953,0.7897475313360623,False
HPT_eff_mod,Nf+Nc+P40,0.4962499141890844,0.6587866443162873,0.5841347067960547,False
HPT_eff_mod,T30+P15+P21,0.4960360331275113,0.5424558287812686,0.6764201144397847,False
HPT_eff_mod,T24+Ps30+P40,0.49440720035033703,0.19391630902535384,0.8978216365039586,False
HPT_eff_mod,Wf+T30+P21,0.4942090729045582,0.6105612781524659,0.6240502558668928,False
HPT_eff_mod,Nf+Nc+Ps30,0.49379715075750885,0.6812669226339441,0.5645645023963658,False
HPT_eff_mod,Wf+P24+P50,0.4936947798999254,0.47136279170795936,0.7270744172999355,False
HPT_eff_mod,Nf+Nc+T24,0.49277052399583726,0.7455115944690985,0.5044684385874914,False
HPT_eff_mod,T30+Ps30+P50,0.4925786596895966,0.49479656981188014,0.7107766387467443,False
HPT_eff_mod,T30+P24+P40,0.49241629247012136,0.4316455626300335,0.7538928553647173,False
HPT_eff_mod,Nc+T24+Ps30,0.49185979029870186,0.6902664083556516,0.5565371430950037,False
HPT_eff_mod,Wf+Nf+T24,0.4908330548772867,0.29108074224519653,0.8419734305515842,False
HPT_eff_mod,Wf+P21+P24,0.4903060893583563,0.37754753023934173,0.7889565702626846,False
HPT_eff_mod,P15+Ps30+P40,0.4894170534991451,0.18232453432738627,0.9042540935337887,False
HPT_eff_mod,Wf+T24+P15,0.4891860427978502,0.3696406391930597,0.7939517370765936,False
HPT_eff_mod,Wf+Nf+P24,0.4841782952396572,0.2200188916271606,0.8831653912902382,False
HPT_eff_mod,Wf+T24+P21,0.4839246292788168,0.3358100241595616,0.8149785125022859,False
HPT_eff_mod,Nc+Ps30+P40,0.4835559809166521,0.6348482371909672,0.6042778854211306,False
HPT_eff_mod,Nc+T24+P40,0.4834822936998861,0.6865853417121143,0.5598344918704865,False
HPT_eff_mod,Wf+T24+T30,0.4827828792936847,0.6566192494792795,0.585986988354452,False
HPT_eff_mod,T24+T30+P24,0.4822530166187884,0.6100986979180497,0.6244207732626698,False
HPT_eff_mod,Nf+T30+P24,0.4808153905503454,0.6325103156733589,0.6062092743654134,False
HPT_eff_mod,Nf+T30+P15,0.48039655015747107,0.5966516375202779,0.6350971283825193,False
HPT_eff_mod,T30+P21+Ps30,0.4777146406851976,0.35124225691616073,0.8054549913457855,False
HPT_eff_mod,T30+P15+Ps30,0.47770178040877265,0.4797735484539827,0.7212672538983157,False
HPT_eff_mod,T24+T30+P50,0.4718821256082812,0.49039620524225613,0.713865389802408,False
HPT_eff_mod,Nc+P21+P50,0.47048455238574155,0.7040052790400992,0.5440539687934469,False
HPT_eff_mod,T24+P21+P50,0.4696513492843453,0.3220853755964108,0.8233557095226761,False
HPT_eff_mod,Wf+T24+P24,0.4689206093267563,0.34506586373667003,0.8092800110365572,False
HPT_eff_mod,Nc+P15+P50,0.46827014051385657,0.7195705285199189,0.5295559191247712,False
HPT_eff_mod,T24+P15+P50,0.46753342830314343,0.3228963262933734,0.8228630953607209,False
HPT_eff_mod,T24+P24+P50,0.4668456243136973,0.3085209336093713,0.8315522030459838,False
HPT_eff_mod,Nc+T30+P24,0.4659225390083097,0.6040740975011415,0.6292264318183548,False
HPT_eff_mod,Nc+T30+P15,0.4658662086532486,0.5416760341745938,0.676996281987875,False
HPT_eff_mod,Nf+T24+P50,0.4635864054921903,0.22700619027407498,0.8792006652214983,False
HPT_eff_mod,Nf+P21+Ps30,0.4562273824695001,0.2658393271348687,0.8568317646219308,False
HPT_eff_mod,Nf+T30+P21,0.45567552151241864,0.5974280058679932,0.6344856138101217,False
HPT_eff_mod,Nf+T24+P40,0.45408099286195897,0.36959647969541043,0.7939795465278622,False
HPT_eff_mod,Nf+T24+Ps30,0.4535957610408909,0.3289569040629907,0.8191722016383426,False
HPT_eff_mod,T24+P24+P40,0.45245869341862976,0.19870505073306388,0.8951507969425802,False
HPT_eff_mod,P21+P24+Ps30,0.450120591005993,0.4134578314427746,0.7658604106214302,False
HPT_eff_mod,Nf+P24+P40,0.449961270117101,0.15996512809059937,0.9165341629799736,False
HPT_eff_mod,P15+P24+P40,0.44994414925102216,0.21100161161481445,0.8882558124691252,False
HPT_eff_mod,P21+P24+P40,0.44934382663146605,0.18277486546133193,0.9040050522749683,False
HPT_eff_mod,P15+P24+Ps30,0.4482291443820681,0.40837133505335266,0.7691740147370082,False
HPT_eff_mod,Nf+P21+P40,0.44574058429684504,0.15420862587542206,0.9196691655832429,False
HPT_eff_mod,T24+P24+Ps30,0.44239792419243257,0.4248195436596339,0.7584065244579362,False
HPT_eff_mod,Nf+P15+P40,0.4395552212296488,0.14956475450558748,0.9221904605310188,False
HPT_eff_mod,Nf+T30+P50,0.4392463913819654,0.5482686249980198,0.6721096450743586,False
HPT_eff_mod,P21+Ps30+P40,0.4323515684165967,0.1841605619837362,0.9032383063268874,False
HPT_eff_mod,Nc+T30+P21,0.4292231021109625,0.5209932696345174,0.692103121193282,False
HPT_eff_mod,Nf+P24+Ps30,0.41817505481955186,0.36360816293071785,0.7977417107493391,False
HPT_eff_mod,T24+P40+P50,0.4176565757058846,0.31372716956861635,0.8284158559753573,False
HPT_eff_mod,Nf+P15+Ps30,0.4117409434825987,0.28897137173915266,0.8432251349792934,False
HPT_eff_mod,P15+P21+P40,0.4102154201180699,0.34172529044545674,0.8113413027539911,False
HPT_eff_mod,P21+Ps30+P50,0.4063290079146777,0.12134138787742588,0.9373679171609055,False
HPT_eff_mod,P15+P40+P50,0.40033782663388906,0.3750668423655775,0.7905271390878511,False
